,id,ten_nganh,nam,phuong_thuc,loai_xet,diem_chuan
0,1,Công nghệ thực phẩm,2016,1,Điểm thi THPT,20.25
1,2,Đảm bảo chất lượng & ATTP,2016,1,Điểm thi THPT,19.0
2,3,Công nghệ chế biến thủy sản,2016,1,Điểm thi THPT,17.75
3,4,Quản trị kinh doanh,2016,1,Điểm thi THPT,19.0
4,5,Kế toán,2016,1,Điểm thi THPT,18.75
5,6,Tài chính ngân hàng,2016,1,Điểm thi THPT,18.25
6,7,Công nghệ kỹ thuật hóa học,2016,1,Điểm thi THPT,19.0
7,8,Công nghệ vật liệu,2016,1,Điểm thi THPT,15.0
8,9,Công nghệ kỹ thuật môi trường,2016,1,Điểm thi THPT,18.0
9,10,Công nghệ sinh học,2016,1,Điểm thi THPT,19.0
10,11,Công nghệ thông tin,2016,1,Điểm thi THPT,18.0
11,12,"Công nghệ dệt, may",2016,1,Điểm thi THPT,17.0
12,13,Công nghệ chế tạo máy,2016,1,Điểm thi THPT,17.25
13,14,Công nghệ kỹ thuật cơ điện tử,2016,1,Điểm thi THPT,16.0
14,15,Công nghệ kỹ thuật điện - điện tử,2016,1,Điểm thi THPT,18.0
15,16,Khoa học dinh dưỡng và ẩm thực,2016,1,Điểm thi THPT,15.5
16,17,Quản trị dịch vụ du lịch và lữ hành,2016,1,Điểm thi THPT,16.0
17,18,Công nghệ thực phẩm,2017,1,Điểm thi THPT,23.0
18,19,Đảm bảo chất lượng & ATTP,2017,1,Điểm thi THPT,20.75
19,20,Công nghệ chế biến thủy sản,2017,1,Điểm thi THPT,18.25
20,21,Quản trị kinh doanh,2017,1,Điểm thi THPT,20.0
21,22,Kế toán,2017,1,Điểm thi THPT,19.25
22,23,Tài chính ngân hàng,2017,1,Điểm thi THPT,18.75
23,24,Công nghệ kỹ thuật hóa học,2017,1,Điểm thi THPT,17.5
24,25,Công nghệ vật liệu,2017,1,Điểm thi THPT,16.25
25,26,Công nghệ kỹ thuật môi trường,2017,1,Điểm thi THPT,17.0
26,27,Quản lý tài nguyên và môi trường,2017,1,Điểm thi THPT,16.0
27,28,Công nghệ sinh học,2017,1,Điểm thi THPT,20.5
28,29,Công nghệ thông tin,2017,1,Điểm thi THPT,19.5
29,30,An toàn thông tin,2017,1,Điểm thi THPT,16.0
30,31,"Công nghệ dệt, may",2017,1,Điểm thi THPT,20.0
31,32,Công nghệ chế tạo máy,2017,1,Điểm thi THPT,17.5
32,33,Công nghệ kỹ thuật cơ điện tử,2017,1,Điểm thi THPT,18.5
33,34,Công nghệ kỹ thuật điện - điện tử,2017,1,Điểm thi THPT,18.5
34,35,Công nghệ kỹ thuật điều khiển và tự động hóa,2017,1,Điểm thi THPT,16.0
35,36,Khoa học dinh dưỡng và ẩm thực,2017,1,Điểm thi THPT,19.0
36,37,Quản trị dịch vụ du lịch và lữ hành,2017,1,Điểm thi THPT,19.75
37,38,Quản trị nhà hàng và dịch vụ ăn uống,2017,1,Điểm thi THPT,19.25
38,39,Ngôn ngữ Anh,2017,1,Điểm thi THPT,18.5
39,40,Công nghệ thực phẩm,2018,1,Điểm thi THPT,18.75
40,41,Đảm bảo chất lượng & ATTP,2018,1,Điểm thi THPT,17.0
41,42,Công nghệ chế biến thủy sản,2018,1,Điểm thi THPT,15.0
42,43,Quản trị kinh doanh,2018,1,Điểm thi THPT,17.0
43,44,Kế toán,2018,1,Điểm thi THPT,17.0
44,45,Tài chính ngân hàng,2018,1,Điểm thi THPT,17.0
45,46,Công nghệ kỹ thuật hóa học,2018,1,Điểm thi THPT,16.0
46,47,Công nghệ vật liệu,2018,1,Điểm thi THPT,15.0
47,48,Công nghệ kỹ thuật môi trường,2018,1,Điểm thi THPT,15.0
48,49,Quản lý tài nguyên và môi trường,2018,1,Điểm thi THPT,16.0
49,50,Công nghệ sinh học,2018,1,Điểm thi THPT,16.5
50,51,Công nghệ thông tin,2018,1,Điểm thi THPT,16.5
51,52,An toàn thông tin,2018,1,Điểm thi THPT,16.0
52,53,"Công nghệ dệt, may",2018,1,Điểm thi THPT,16.75
53,54,Công nghệ chế tạo máy,2018,1,Điểm thi THPT,16.0
54,55,Công nghệ kỹ thuật cơ điện tử,2018,1,Điểm thi THPT,16.0
55,56,Công nghệ kỹ thuật điện - điện tử,2018,1,Điểm thi THPT,16.0
56,57,Công nghệ kỹ thuật điều khiển và tự động hóa,2018,1,Điểm thi THPT,16.0
57,58,Khoa học dinh dưỡng và ẩm thực,2018,1,Điểm thi THPT,16.5
58,59,Khoa học chế biến món ăn,2018,1,Điểm thi THPT,16.25
59,60,Quản trị dịch vụ du lịch và lữ hành,2018,1,Điểm thi THPT,17.0
60,61,Quản trị nhà hàng và dịch vụ ăn uống,2018,1,Điểm thi THPT,17.0
61,62,Công nghệ thực phẩm,2019,1,Điểm thi THPT,20.25
62,63,Đảm bảo chất lượng & ATTP,2019,1,Điểm thi THPT,16.55
63,64,Công nghệ chế biến thủy sản,2019,1,Điểm thi THPT,15.0
64,65,Khoa học thủy sản,2019,1,Điểm thi THPT,15.6
65,66,Quản trị kinh doanh,2019,1,Điểm thi THPT,19.0
66,67,Kinh doanh quốc tế,2019,1,Điểm thi THPT,18.0
67,68,Kế toán,2019,1,Điểm thi THPT,18.0
68,69,Tài chính ngân hàng,2019,1,Điểm thi THPT,18.0
69,70,Luật kinh tế,2019,1,Điểm thi THPT,17.05
70,71,Công nghệ kỹ thuật hóa học,2019,1,Điểm thi THPT,16.1
71,72,Công nghệ vật liệu,2019,1,Điểm thi THPT,15.1
72,73,Công nghệ kỹ thuật môi trường,2019,1,Điểm thi THPT,16.05
73,74,Quản lý tài nguyên và môi trường,2019,1,Điểm thi THPT,16.0
74,75,Công nghệ sinh học,2019,1,Điểm thi THPT,16.05
75,76,Công nghệ thông tin,2019,1,Điểm thi THPT,16.5
76,77,An toàn thông tin,2019,1,Điểm thi THPT,15.05
77,78,"Công nghệ dệt, may",2019,1,Điểm thi THPT,16.5
78,79,Công nghệ chế tạo máy,2019,1,Điểm thi THPT,16.0
79,80,Công nghệ kỹ thuật cơ điện tử,2019,1,Điểm thi THPT,16.0
80,81,Công nghệ kỹ thuật điện - điện tử,2019,1,Điểm thi THPT,16.0
81,82,Công nghệ kỹ thuật điều khiển và tự động hóa,2019,1,Điểm thi THPT,16.0
82,83,Khoa học dinh dưỡng và ẩm thực,2019,1,Điểm thi THPT,17.0
83,84,Khoa học chế biến món ăn,2019,1,Điểm thi THPT,16.5
84,85,Quản trị dịch vụ du lịch và lữ hành,2019,1,Điểm thi THPT,18.0
85,86,Quản trị nhà hàng và dịch vụ ăn uống,2019,1,Điểm thi THPT,20.0
86,87,Ngôn ngữ Anh,2019,1,Điểm thi THPT,19.75
87,88,Công nghệ thực phẩm,2020,1,Điểm thi THPT,22.5
88,89,Đảm bảo chất lượng & ATTP,2020,1,Điểm thi THPT,17.0
89,90,Công nghệ chế biến thủy sản,2020,1,Điểm thi THPT,15.0
90,91,Khoa học thủy sản,2020,1,Điểm thi THPT,17.0
91,92,Quản trị kinh doanh,2020,1,Điểm thi THPT,22.0
92,93,Kinh doanh quốc tế,2020,1,Điểm thi THPT,20.0
